"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HIVB.nonOccupationalConsensualSex","HIVB.nonOccupationalConsensualSex","","","",1,1,"","","","string {[]} {[]}
","Non-occupational consensual sex","Exposure to HIV through non-occupational consensual sex","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE64
",,,,"HIVB.nonOccupationalConsensualSex",1,1,"",""
"HIVB.dateInformedOfHivPositiveDiagnosis","HIVB.dateInformedOfHivPositiveDiagnosis","","","",1,1,"","","","string {[]} {[]}
","Date informed of HIV-positive diagnosis","The date on which the client was diagnosed with HIV","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE65
",,,,"HIVB.dateInformedOfHivPositiveDiagnosis",1,1,"",""
"HIVB.hivDiagnosingFacility","HIVB.hivDiagnosingFacility","","","",1,1,"","","","string {[]} {[]}
","HIV diagnosing facility","The facility where the client received an HIV-positive diagnosis","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE66
",,,,"HIVB.hivDiagnosingFacility",1,1,"",""
"HIVB.dateOfFirstPositiveTestIndicativeOfHivDiagnosis","HIVB.dateOfFirstPositiveTestIndicativeOfHivDiagnosis","","","",1,1,"","","","string {[]} {[]}
","Date of first positive test indicative of HIV diagnosis","Earliest date of HIV diagnosis determined according to the national HIV testing algorithm","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE67
",,,,"HIVB.dateOfFirstPositiveTestIndicativeOfHivDiagnosis",1,1,"",""
"HIVB.hivSerotype","HIVB.hivSerotype","","","",1,1,"","","","string {[]} {[]}
","HIV serotype","The clients HIV serotype","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE68
",,,,"HIVB.hivSerotype",1,1,"",""
"HIVB.hiv1","HIVB.hiv1","","","",1,1,"","","","string {[]} {[]}
","HIV-1","The client has HIV-1","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE69
",,,,"HIVB.hiv1",1,1,"",""
"HIVB.hiv2","HIVB.hiv2","","","",1,1,"","","","string {[]} {[]}
","HIV-2","The client has HIV-2","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE70
",,,,"HIVB.hiv2",1,1,"",""
"HIVB.hivDiagnosisDate","HIVB.hivDiagnosisDate","","","",1,1,"","","","string {[]} {[]}
","HIV diagnosis date","Date diagnosis was returned to client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE71
",,,,"HIVB.hivDiagnosisDate",1,1,"",""
"HIVB.artStartDate","HIVB.artStartDate","","","",1,1,"","","","string {[]} {[]}
","ART start date","The date on which the client started or restarted antiretroviral therapy (ART)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE72
",,,,"HIVB.artStartDate",1,1,"",""
"HIVB.ageAtDiagnosis","HIVB.ageAtDiagnosis","","","",1,1,"","","","string {[]} {[]}
","Age at diagnosis","The clients age (in years) when given an HIV diagnosis","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE73
",,,,"HIVB.ageAtDiagnosis",1,1,"",""
